,Bacteroidaceae,Bifidobacteriaceae,Enterobacteriaceae,Lachnospiraceae,Muribaculaceae,Oscillospiraceae,Prevotellaceae,Ruminococcaceae,Sutterellaceae,Synergistaceae,Tannerellaceae,Rest
1s1,4321,2350,152,6991,0,2773,1002,5514,132,0,452,27084
1s2,2341,6165,1130,3728,0,276,725,3320,134,0,421,4491
1s3,2658,2892,865,3619,0,245,1314,1912,508,0,615,1444
1s4,5878,414,513,2912,0,3827,1737,1859,1625,0,336,2302
1s5,5259,1094,370,2389,8,1542,459,1124,800,0,561,1624
1s7,6143,469,923,2099,39,1083,181,971,758,0,480,1290
1s8,2847,83,1760,1707,91,2192,56,948,608,0,183,1030
1s9,10363,227,4566,2860,1493,1642,75,3079,1177,0,619,1346
1s11,10448,40,2990,1206,340,469,40,1725,1049,6,726,1030
1s12,14427,47,2696,1614,893,678,63,2699,1603,55,857,1425
1s13,6752,6,4539,845,529,296,143,1464,299,101,620,702
T0s1,22936,10,15315,5345,800,1139,1309,3509,1319,933,2518,6044
T1s1,8601,5,7059,631,250,224,201,921,263,104,783,719
T2s1,12198,9,13634,789,638,191,324,992,437,236,1183,1034
T3s1,13560,6,15774,813,497,229,323,773,531,279,1226,1113
T4s1,10353,6,13232,744,565,197,273,913,397,302,996,934
T5s1,7262,0,8489,473,343,116,153,553,311,234,681,703
T6s1,11458,9,10434,607,302,123,358,735,405,169,818,825
T12s1,11458,9,10434,607,302,123,358,735,405,169,818,825
T24s1,13889,8,13644,599,576,135,306,618,473,525,1066,1089
T48s1,16375,0,18372,917,349,221,366,350,474,753,1696,1299
T72s1,11253,0,11380,1163,326,195,445,133,241,610,980,1327
T96s1,12964,0,12386,1577,306,269,609,96,226,566,895,1436
T120s1,9223,0,6461,1257,253,179,322,68,114,420,697,1211
T144s1,5593,0,4572,869,202,158,366,48,46,264,436,980
D1-1,4654,16756,1259,9211,0,290,1598,6186,1117,0,1218,10445
D2-1,5426,10458,511,8211,0,1232,3661,5841,1530,0,2133,4494
D4-1,47,0,0,0,0,0,0,9,0,0,0,0
D6-1,35773,8,0,15043,3674,2923,320,772,2335,11980,1179,3055
D8-1,17461,909,103,14566,1896,5432,112,1649,1163,26,2443,3815
D9-1,18191,484,73,15348,2320,5070,82,1270,1319,40,2076,2948
D11-1,27743,290,69,19494,4981,4632,124,1444,2684,381,2380,4348
D13-1,21227,92,17,12755,4044,2508,317,857,2773,976,1097,4283
D15-1,27332,42,12,13161,7196,2652,1616,939,3051,6987,1278,4735
D16-1,26730,37,8,12884,5202,2929,1636,827,2604,6595,1478,4451
D18-1,22181,27,7,7123,6684,2686,1863,803,1756,7783,1073,4823
T0-1,31879,31,0,14051,3456,2841,225,769,1926,9880,990,4534
T1-1,25080,38,2,9001,8103,3472,2493,938,1717,7889,1263,10939
T2-1,36370,16,8,13683,3542,3143,273,800,2437,11334,1284,2967
T3-1,28427,69,4,11488,10309,4007,3014,984,2072,8556,1832,12475
T4-1,13040,2892,314,8738,129,4653,62,5423,1010,0,2235,2159
T5-1,24562,15,0,5063,8164,3007,2443,649,2235,7560,1499,6680
T6-1,33339,8,8,8143,9075,3900,3085,1034,3009,8529,2113,9051
T12-1,26133,13,12,6007,11250,3244,3075,756,2936,7718,1773,8766
T24-1,25558,15,10,5397,11615,2466,3298,724,3537,6859,1928,8480
T48-1,20091,8,28,6494,12640,1924,2978,445,2332,5411,1348,5251
T72-1,23569,6,33,10629,10442,1465,2315,973,2225,5203,1334,4359
T96-1,25429,0,14,12332,8464,1293,1662,2734,2505,4665,1284,3964
T120-1,31597,0,17,15485,8802,1797,1721,5333,3116,5113,1743,5904
T144-1,89,0,5,167,73,16,7,155,13,29,0,49
2s1,3698,2402,142,7377,0,2725,1091,5825,135,0,513,27986
2s2,5816,3823,3311,2472,0,171,207,1601,74,0,441,3390
2s3,6444,2674,1888,2201,0,38,210,839,714,0,600,922
2s4,6444,2674,1888,2201,0,38,210,839,714,0,600,922
2s5,12481,38,648,1571,0,0,0,0,1244,0,47,6145
2s7,12481,38,648,1571,0,0,0,0,1244,0,47,6145
2s8,9997,14,1137,2876,0,0,0,0,1255,0,111,4794
2s9,20902,10,1255,1938,0,4,0,0,1713,0,206,1298
2s11,21043,0,3516,1487,0,20,0,0,1062,0,397,1806
2s12,21938,0,2539,1426,0,32,0,2,1007,0,274,1819
