source,target,top_count,other_count,top_rate,other_rate,rate_difference,top_mean_value,other_mean_value
Oscillospiraceae,Other_bacteria,2,0,0.6666666666666666,0.0,0.6666666666666666,0.24378392183923248,
Bacteroidaceae,Lachnospiraceae,2,0,0.6666666666666666,0.0,0.6666666666666666,0.045789785818255546,
Enterobacteriaceae,Bifidobacteriaceae,2,1,0.6666666666666666,0.1111111111111111,0.5555555555555556,0.3044454638560081,-0.6176277384079916
Tannerellaceae,Bifidobacteriaceae,2,1,0.6666666666666666,0.1111111111111111,0.5555555555555556,-0.372983708608043,-0.1069254306270766
Bacteroidaceae,Muribaculaceae,2,2,0.6666666666666666,0.2222222222222222,0.4444444444444444,0.37557120858616433,0.45594905455205303
Bacteroidaceae,Oscillospiraceae,2,2,0.6666666666666666,0.2222222222222222,0.4444444444444444,0.14070576423261721,0.3114391023740095
Sutterellaceae,Oscillospiraceae,2,2,0.6666666666666666,0.2222222222222222,0.4444444444444444,-0.19697028296232055,0.3910688153993776
Prevotellaceae,Enterobacteriaceae,2,2,0.6666666666666666,0.2222222222222222,0.4444444444444444,-0.5097680979681252,-0.36385490736270076
Synergistaceae,Tannerellaceae,2,3,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.470337704360519,-0.3979521592431155
Bifidobacteriaceae,Sutterellaceae,1,0,0.3333333333333333,0.0,0.3333333333333333,0.7489378155713515,
Prevotellaceae,Bifidobacteriaceae,1,0,0.3333333333333333,0.0,0.3333333333333333,0.6734671819168179,
Oscillospiraceae,Tannerellaceae,1,0,0.3333333333333333,0.0,0.3333333333333333,0.5451904760146318,
Tannerellaceae,Bacteroidaceae,1,0,0.3333333333333333,0.0,0.3333333333333333,0.41596915098019815,
Enterobacteriaceae,Ruminococcaceae,1,0,0.3333333333333333,0.0,0.3333333333333333,-0.10137469911700203,
Muribaculaceae,Synergistaceae,1,0,0.3333333333333333,0.0,0.3333333333333333,-0.40161334790279124,
Other_bacteria,Sutterellaceae,1,0,0.3333333333333333,0.0,0.3333333333333333,-0.44561865674391293,
Bifidobacteriaceae,Enterobacteriaceae,1,0,0.3333333333333333,0.0,0.3333333333333333,-0.5440640118962299,
Enterobacteriaceae,Synergistaceae,1,1,0.3333333333333333,0.1111111111111111,0.2222222222222222,0.5757196789177381,0.5083309765059854
Prevotellaceae,Synergistaceae,1,1,0.3333333333333333,0.1111111111111111,0.2222222222222222,0.4898232758532879,0.29384078035093286
Ruminococcaceae,Lachnospiraceae,1,1,0.3333333333333333,0.1111111111111111,0.2222222222222222,0.37869010009683346,-0.112498708772647
Oscillospiraceae,Bifidobacteriaceae,1,1,0.3333333333333333,0.1111111111111111,0.2222222222222222,0.3116080278978939,-0.1436827844596914
Other_bacteria,Bacteroidaceae,1,1,0.3333333333333333,0.1111111111111111,0.2222222222222222,0.3080489360530694,0.31900606909089646
Muribaculaceae,Ruminococcaceae,1,1,0.3333333333333333,0.1111111111111111,0.2222222222222222,0.26869251956769213,-0.44607958435134876
Ruminococcaceae,Prevotellaceae,1,1,0.3333333333333333,0.1111111111111111,0.2222222222222222,0.19210904573959853,-0.103475078414203
Other_bacteria,Ruminococcaceae,1,1,0.3333333333333333,0.1111111111111111,0.2222222222222222,0.07028291337629555,-0.2700140887907784
Ruminococcaceae,Muribaculaceae,1,1,0.3333333333333333,0.1111111111111111,0.2222222222222222,0.025652237248672494,0.4506787411503663
Lachnospiraceae,Tannerellaceae,1,1,0.3333333333333333,0.1111111111111111,0.2222222222222222,-0.08332513409358344,-0.1703782104673539
Other_bacteria,Enterobacteriaceae,1,1,0.3333333333333333,0.1111111111111111,0.2222222222222222,-0.15542018483036912,-0.6395880844868469
Synergistaceae,Sutterellaceae,1,1,0.3333333333333333,0.1111111111111111,0.2222222222222222,-0.18937557532326665,-0.05302448809746052
Lachnospiraceae,Sutterellaceae,1,1,0.3333333333333333,0.1111111111111111,0.2222222222222222,-0.36266627758526654,0.49180205465296956
Bifidobacteriaceae,Bacteroidaceae,1,1,0.3333333333333333,0.1111111111111111,0.2222222222222222,-0.42236397994416264,-0.7591110997986521
Oscillospiraceae,Synergistaceae,1,1,0.3333333333333333,0.1111111111111111,0.2222222222222222,-0.5054726964410645,0.24574440904084915
Bacteroidaceae,Synergistaceae,1,1,0.3333333333333333,0.1111111111111111,0.2222222222222222,-0.5273096964548607,-0.5786916834977976
Ruminococcaceae,Enterobacteriaceae,1,2,0.3333333333333333,0.2222222222222222,0.1111111111111111,0.48768592713301406,0.3577256487756101
Enterobacteriaceae,Muribaculaceae,1,2,0.3333333333333333,0.2222222222222222,0.1111111111111111,0.13461687250895904,-0.22010831854975124
Bifidobacteriaceae,Muribaculaceae,1,2,0.3333333333333333,0.2222222222222222,0.1111111111111111,-0.1233547479192616,-0.6651836760489234
Enterobacteriaceae,Prevotellaceae,1,2,0.3333333333333333,0.2222222222222222,0.1111111111111111,-0.2549477450589821,0.6124537039647987
Ruminococcaceae,Sutterellaceae,1,2,0.3333333333333333,0.2222222222222222,0.1111111111111111,-0.6261641310235491,-0.6501488844620625
Tannerellaceae,Other_bacteria,1,2,0.3333333333333333,0.2222222222222222,0.1111111111111111,-0.7210069584987919,-0.2999906668001996
Lachnospiraceae,Synergistaceae,1,3,0.3333333333333333,0.3333333333333333,0.0,0.7228997765074174,-0.3905049915640097
Lachnospiraceae,Ruminococcaceae,1,3,0.3333333333333333,0.3333333333333333,0.0,0.3150126972887952,0.5467397907366603
Tannerellaceae,Synergistaceae,1,3,0.3333333333333333,0.3333333333333333,0.0,-0.4081183302364821,-0.23521553408317497
Prevotellaceae,Oscillospiraceae,1,3,0.3333333333333333,0.3333333333333333,0.0,-0.6210390361488938,-0.47193207549297167
Tannerellaceae,Lachnospiraceae,1,3,0.3333333333333333,0.3333333333333333,0.0,-0.7445499367036537,0.17068535602883247
Bacteroidaceae,Sutterellaceae,0,0,0.0,0.0,0.0,,
Bifidobacteriaceae,Lachnospiraceae,0,0,0.0,0.0,0.0,,
Enterobacteriaceae,Lachnospiraceae,0,0,0.0,0.0,0.0,,
Enterobacteriaceae,Other_bacteria,0,0,0.0,0.0,0.0,,
Enterobacteriaceae,Tannerellaceae,0,0,0.0,0.0,0.0,,
Lachnospiraceae,Bifidobacteriaceae,0,0,0.0,0.0,0.0,,
Muribaculaceae,Lachnospiraceae,0,0,0.0,0.0,0.0,,
Muribaculaceae,Tannerellaceae,0,0,0.0,0.0,0.0,,
Oscillospiraceae,Lachnospiraceae,0,0,0.0,0.0,0.0,,
Other_bacteria,Prevotellaceae,0,0,0.0,0.0,0.0,,
Other_bacteria,Synergistaceae,0,0,0.0,0.0,0.0,,
Prevotellaceae,Lachnospiraceae,0,0,0.0,0.0,0.0,,
Prevotellaceae,Sutterellaceae,0,0,0.0,0.0,0.0,,
Prevotellaceae,Tannerellaceae,0,0,0.0,0.0,0.0,,
Ruminococcaceae,Bacteroidaceae,0,0,0.0,0.0,0.0,,
Sutterellaceae,Enterobacteriaceae,0,0,0.0,0.0,0.0,,
Sutterellaceae,Tannerellaceae,0,0,0.0,0.0,0.0,,
Synergistaceae,Muribaculaceae,0,0,0.0,0.0,0.0,,
Tannerellaceae,Enterobacteriaceae,0,0,0.0,0.0,0.0,,
Tannerellaceae,Ruminococcaceae,0,0,0.0,0.0,0.0,,
Tannerellaceae,Muribaculaceae,1,4,0.3333333333333333,0.4444444444444444,-0.1111111111111111,0.6495549221683057,0.21453692845519304
Bacteroidaceae,Bifidobacteriaceae,0,1,0.0,0.1111111111111111,-0.1111111111111111,,0.22399418151399764
Bacteroidaceae,Prevotellaceae,0,1,0.0,0.1111111111111111,-0.1111111111111111,,-0.7248637495863518
Bacteroidaceae,Ruminococcaceae,0,1,0.0,0.1111111111111111,-0.1111111111111111,,-0.13959205289416354
Bacteroidaceae,Tannerellaceae,0,1,0.0,0.1111111111111111,-0.1111111111111111,,0.1289683415067835
Bifidobacteriaceae,Oscillospiraceae,0,1,0.0,0.1111111111111111,-0.1111111111111111,,-0.21891833552954798
Bifidobacteriaceae,Other_bacteria,0,1,0.0,0.1111111111111111,-0.1111111111111111,,-0.013951610865095332
Bifidobacteriaceae,Ruminococcaceae,0,1,0.0,0.1111111111111111,-0.1111111111111111,,0.3703585423208864
Bifidobacteriaceae,Synergistaceae,0,1,0.0,0.1111111111111111,-0.1111111111111111,,-0.43287786015489615
Enterobacteriaceae,Sutterellaceae,0,1,0.0,0.1111111111111111,-0.1111111111111111,,0.319276434960281
Lachnospiraceae,Enterobacteriaceae,0,1,0.0,0.1111111111111111,-0.1111111111111111,,0.4265040184681508
Lachnospiraceae,Other_bacteria,0,1,0.0,0.1111111111111111,-0.1111111111111111,,0.3202301607562774
Lachnospiraceae,Prevotellaceae,0,1,0.0,0.1111111111111111,-0.1111111111111111,,-0.7188056855841558
Muribaculaceae,Bacteroidaceae,0,1,0.0,0.1111111111111111,-0.1111111111111111,,-0.46866736011985943
Muribaculaceae,Bifidobacteriaceae,0,1,0.0,0.1111111111111111,-0.1111111111111111,,-0.6602147084608259
Muribaculaceae,Enterobacteriaceae,0,1,0.0,0.1111111111111111,-0.1111111111111111,,0.3330109632192262
Muribaculaceae,Prevotellaceae,0,1,0.0,0.1111111111111111,-0.1111111111111111,,0.5339578358421118
Muribaculaceae,Sutterellaceae,0,1,0.0,0.1111111111111111,-0.1111111111111111,,0.6227193348330908
Oscillospiraceae,Bacteroidaceae,0,1,0.0,0.1111111111111111,-0.1111111111111111,,-0.2775122472739021
Oscillospiraceae,Prevotellaceae,0,1,0.0,0.1111111111111111,-0.1111111111111111,,0.5118625548844657
Oscillospiraceae,Sutterellaceae,0,1,0.0,0.1111111111111111,-0.1111111111111111,,0.21182238779047635
Other_bacteria,Oscillospiraceae,0,1,0.0,0.1111111111111111,-0.1111111111111111,,-0.4542539276397284
Prevotellaceae,Bacteroidaceae,0,1,0.0,0.1111111111111111,-0.1111111111111111,,-0.6130110039489782
Prevotellaceae,Muribaculaceae,0,1,0.0,0.1111111111111111,-0.1111111111111111,,0.23046954606888503
Prevotellaceae,Other_bacteria,0,1,0.0,0.1111111111111111,-0.1111111111111111,,0.5261417064668366
Prevotellaceae,Ruminococcaceae,0,1,0.0,0.1111111111111111,-0.1111111111111111,,0.7503325739518727
Ruminococcaceae,Oscillospiraceae,0,1,0.0,0.1111111111111111,-0.1111111111111111,,0.75456510027005
Ruminococcaceae,Other_bacteria,0,1,0.0,0.1111111111111111,-0.1111111111111111,,-0.15798413863195626
Sutterellaceae,Bacteroidaceae,0,1,0.0,0.1111111111111111,-0.1111111111111111,,0.4788209233521252
Sutterellaceae,Bifidobacteriaceae,0,1,0.0,0.1111111111111111,-0.1111111111111111,,0.18999319334562936
Sutterellaceae,Lachnospiraceae,0,1,0.0,0.1111111111111111,-0.1111111111111111,,0.3065975876423468
Sutterellaceae,Prevotellaceae,0,1,0.0,0.1111111111111111,-0.1111111111111111,,-0.16145108731339586
Sutterellaceae,Ruminococcaceae,0,1,0.0,0.1111111111111111,-0.1111111111111111,,0.1354806299094049
Synergistaceae,Bifidobacteriaceae,0,1,0.0,0.1111111111111111,-0.1111111111111111,,0.441961844256493
Synergistaceae,Enterobacteriaceae,0,1,0.0,0.1111111111111111,-0.1111111111111111,,0.13963586204590506
Synergistaceae,Oscillospiraceae,0,1,0.0,0.1111111111111111,-0.1111111111111111,,0.7826364698487247
Synergistaceae,Prevotellaceae,0,1,0.0,0.1111111111111111,-0.1111111111111111,,-0.655618221965759
Synergistaceae,Ruminococcaceae,0,1,0.0,0.1111111111111111,-0.1111111111111111,,0.0896328152290311
Tannerellaceae,Sutterellaceae,0,1,0.0,0.1111111111111111,-0.1111111111111111,,0.24825651303632545
Bacteroidaceae,Enterobacteriaceae,0,2,0.0,0.2222222222222222,-0.2222222222222222,,0.29672386525533456
Bacteroidaceae,Other_bacteria,0,2,0.0,0.2222222222222222,-0.2222222222222222,,0.3713139984418483
Bifidobacteriaceae,Prevotellaceae,0,2,0.0,0.2222222222222222,-0.2222222222222222,,0.3510759538772429
Enterobacteriaceae,Bacteroidaceae,0,2,0.0,0.2222222222222222,-0.2222222222222222,,0.08754251734778962
Enterobacteriaceae,Oscillospiraceae,0,2,0.0,0.2222222222222222,-0.2222222222222222,,-0.1865756133025568
Lachnospiraceae,Oscillospiraceae,0,2,0.0,0.2222222222222222,-0.2222222222222222,,0.3430935622543506
Muribaculaceae,Oscillospiraceae,0,2,0.0,0.2222222222222222,-0.2222222222222222,,-0.07250652130634083
Muribaculaceae,Other_bacteria,0,2,0.0,0.2222222222222222,-0.2222222222222222,,-0.4317037779332527
Oscillospiraceae,Enterobacteriaceae,0,2,0.0,0.2222222222222222,-0.2222222222222222,,-0.6342229870552623
Oscillospiraceae,Muribaculaceae,0,2,0.0,0.2222222222222222,-0.2222222222222222,,-0.4953380005534008
Oscillospiraceae,Ruminococcaceae,0,2,0.0,0.2222222222222222,-0.2222222222222222,,-0.10881535870575298
Other_bacteria,Bifidobacteriaceae,0,2,0.0,0.2222222222222222,-0.2222222222222222,,0.05122750084670519
Other_bacteria,Lachnospiraceae,0,2,0.0,0.2222222222222222,-0.2222222222222222,,4.598882143425076e-05
Other_bacteria,Muribaculaceae,0,2,0.0,0.2222222222222222,-0.2222222222222222,,-0.015166075605975105
Other_bacteria,Tannerellaceae,0,2,0.0,0.2222222222222222,-0.2222222222222222,,0.2728006794627753
Ruminococcaceae,Bifidobacteriaceae,0,2,0.0,0.2222222222222222,-0.2222222222222222,,0.44002657896105424
Ruminococcaceae,Synergistaceae,0,2,0.0,0.2222222222222222,-0.2222222222222222,,-0.012418349250760796
Ruminococcaceae,Tannerellaceae,0,2,0.0,0.2222222222222222,-0.2222222222222222,,0.39855815684816964
Sutterellaceae,Muribaculaceae,0,2,0.0,0.2222222222222222,-0.2222222222222222,,-0.5313188173446505
Sutterellaceae,Synergistaceae,0,2,0.0,0.2222222222222222,-0.2222222222222222,,-0.10519209082161307
Synergistaceae,Bacteroidaceae,0,2,0.0,0.2222222222222222,-0.2222222222222222,,0.11243452096138223
Synergistaceae,Lachnospiraceae,0,2,0.0,0.2222222222222222,-0.2222222222222222,,-0.03577868230975212
Synergistaceae,Other_bacteria,0,2,0.0,0.2222222222222222,-0.2222222222222222,,-0.36570905920215274
Tannerellaceae,Prevotellaceae,0,2,0.0,0.2222222222222222,-0.2222222222222222,,-0.37817421888934
Bifidobacteriaceae,Tannerellaceae,0,3,0.0,0.3333333333333333,-0.3333333333333333,,0.05388179448789813
Lachnospiraceae,Muribaculaceae,0,3,0.0,0.3333333333333333,-0.3333333333333333,,0.16939404424563798
Sutterellaceae,Other_bacteria,0,3,0.0,0.3333333333333333,-0.3333333333333333,,0.20693224392726006
Tannerellaceae,Oscillospiraceae,0,3,0.0,0.3333333333333333,-0.3333333333333333,,0.057445618877293825
Lachnospiraceae,Bacteroidaceae,0,4,0.0,0.4444444444444444,-0.4444444444444444,,0.10972587074770784
