run_no,rmse,active_pairs,config_path
0,0.15351389648787098,"[('Bacteroidaceae', 'Oscillospiraceae', 0.09037275003383072), ('Oscillospiraceae', 'Enterobacteriaceae', -0.6072487668832505), ('Muribaculaceae', 'Ruminococcaceae', -0.44607958435134876), ('Tannerellaceae', 'Prevotellaceae', -0.4230931977254686), ('Bifidobacteriaceae', 'Synergistaceae', -0.43287786015489615), ('Lachnospiraceae', 'Muribaculaceae', -0.35112847779235445), ('Synergistaceae', 'Tannerellaceae', -0.7638656322071458), ('Lachnospiraceae', 'Synergistaceae', -0.13119676130987445), ('Tannerellaceae', 'Sutterellaceae', 0.24825651303632545), ('Tannerellaceae', 'Oscillospiraceae', 0.15365555559792132), ('Sutterellaceae', 'Other_bacteria', -0.35766161865943985), ('Bacteroidaceae', 'Muribaculaceae', 0.4138688584512411), ('Synergistaceae', 'Lachnospiraceae', -0.2692443796800845), ('Other_bacteria', 'Lachnospiraceae', -0.6032960715182716), ('Prevotellaceae', 'Bacteroidaceae', -0.6130110039489782), ('Prevotellaceae', 'Enterobacteriaceae', -0.26905509400771344), ('Ruminococcaceae', 'Other_bacteria', -0.15798413863195626), ('Oscillospiraceae', 'Bacteroidaceae', -0.2775122472739021)]",screening_runs/screen_0.json
1,0.15155093208348872,"[('Bifidobacteriaceae', 'Tannerellaceae', -0.17300082774614334), ('Lachnospiraceae', 'Bacteroidaceae', 0.7819491267575207), ('Lachnospiraceae', 'Enterobacteriaceae', 0.4265040184681508), ('Enterobacteriaceae', 'Bifidobacteriaceae', -0.6176277384079916), ('Ruminococcaceae', 'Synergistaceae', -0.3481390288651287), ('Oscillospiraceae', 'Ruminococcaceae', -0.25706814594913985), ('Other_bacteria', 'Muribaculaceae', -0.17653200302760363), ('Bifidobacteriaceae', 'Other_bacteria', -0.013951610865095332), ('Tannerellaceae', 'Lachnospiraceae', 0.44501553896174495), ('Prevotellaceae', 'Oscillospiraceae', -0.443546651515752), ('Tannerellaceae', 'Muribaculaceae', -0.6489949324269247), ('Synergistaceae', 'Prevotellaceae', -0.655618221965759), ('Bacteroidaceae', 'Muribaculaceae', 0.49802925065286496), ('Enterobacteriaceae', 'Bacteroidaceae', 0.4095254771841834), ('Muribaculaceae', 'Bifidobacteriaceae', -0.6602147084608259), ('Tannerellaceae', 'Synergistaceae', -0.3896181228763169), ('Muribaculaceae', 'Sutterellaceae', 0.6227193348330908), ('Oscillospiraceae', 'Synergistaceae', 0.24574440904084915)]",screening_runs/screen_1.json
2,0.14329157169365497,"[('Sutterellaceae', 'Muribaculaceae', -0.3612020453363222), ('Prevotellaceae', 'Oscillospiraceae', -0.7808362008274546), ('Tannerellaceae', 'Prevotellaceae', -0.3332552400532114), ('Tannerellaceae', 'Synergistaceae', 0.07423310727453869), ('Muribaculaceae', 'Bacteroidaceae', -0.46866736011985943), ('Bacteroidaceae', 'Bifidobacteriaceae', 0.22399418151399764), ('Tannerellaceae', 'Muribaculaceae', 0.46110417470280507), ('Other_bacteria', 'Ruminococcaceae', -0.2700140887907784), ('Sutterellaceae', 'Lachnospiraceae', 0.3065975876423468), ('Ruminococcaceae', 'Bifidobacteriaceae', 0.5034861393082988), ('Enterobacteriaceae', 'Synergistaceae', 0.5083309765059854), ('Ruminococcaceae', 'Tannerellaceae', 0.4094485773128309), ('Ruminococcaceae', 'Sutterellaceae', -0.5472161333263689), ('Sutterellaceae', 'Bifidobacteriaceae', 0.18999319334562936), ('Lachnospiraceae', 'Synergistaceae', -0.5242308651729937), ('Prevotellaceae', 'Ruminococcaceae', 0.7503325739518727), ('Bacteroidaceae', 'Oscillospiraceae', 0.5325054547141883), ('Bacteroidaceae', 'Other_bacteria', 0.021603355158023696)]",screening_runs/screen_2.json
3,0.15438282645242563,"[('Tannerellaceae', 'Bifidobacteriaceae', -0.1069254306270766), ('Other_bacteria', 'Tannerellaceae', -0.12441785393796878), ('Other_bacteria', 'Bacteroidaceae', 0.31900606909089646), ('Tannerellaceae', 'Oscillospiraceae', -0.632021119108932), ('Tannerellaceae', 'Synergistaceae', -0.3902615866477467), ('Synergistaceae', 'Tannerellaceae', 0.12855532025470284), ('Oscillospiraceae', 'Enterobacteriaceae', -0.661197207227274), ('Bacteroidaceae', 'Other_bacteria', 0.7210246417256729), ('Oscillospiraceae', 'Bifidobacteriaceae', -0.1436827844596914), ('Sutterellaceae', 'Synergistaceae', -0.2936844360359052), ('Sutterellaceae', 'Oscillospiraceae', 0.13312800276263415), ('Oscillospiraceae', 'Ruminococcaceae', 0.03943742853763388), ('Lachnospiraceae', 'Oscillospiraceae', 0.050727282257190254), ('Bifidobacteriaceae', 'Muribaculaceae', -0.7955105797141014), ('Sutterellaceae', 'Bacteroidaceae', 0.4788209233521252), ('Sutterellaceae', 'Other_bacteria', 0.18235311405548915), ('Bifidobacteriaceae', 'Bacteroidaceae', -0.7591110997986521), ('Synergistaceae', 'Enterobacteriaceae', 0.13963586204590506)]",screening_runs/screen_3.json
4,0.15185310132790603,"[('Synergistaceae', 'Other_bacteria', -0.38637544886665387), ('Enterobacteriaceae', 'Oscillospiraceae', -0.3062330562520801), ('Synergistaceae', 'Tannerellaceae', -0.5585461657769036), ('Enterobacteriaceae', 'Muribaculaceae', -0.37003568433973993), ('Oscillospiraceae', 'Prevotellaceae', 0.5118625548844657), ('Synergistaceae', 'Ruminococcaceae', 0.0896328152290311), ('Bacteroidaceae', 'Ruminococcaceae', -0.13959205289416354), ('Lachnospiraceae', 'Other_bacteria', 0.3202301607562774), ('Sutterellaceae', 'Oscillospiraceae', 0.6490096280361211), ('Lachnospiraceae', 'Bacteroidaceae', -0.32650502340451804), ('Tannerellaceae', 'Muribaculaceae', 0.6940758047088982), ('Sutterellaceae', 'Synergistaceae', 0.08330025439267907), ('Tannerellaceae', 'Other_bacteria', -0.30893029740328565), ('Enterobacteriaceae', 'Prevotellaceae', 0.6278743174016306), ('Bacteroidaceae', 'Enterobacteriaceae', 0.6596690261064502), ('Synergistaceae', 'Bacteroidaceae', -0.5675541896460813), ('Other_bacteria', 'Oscillospiraceae', -0.4542539276397284), ('Muribaculaceae', 'Enterobacteriaceae', 0.3330109632192262)]",screening_runs/screen_4.json
5,0.1704552760829746,"[('Synergistaceae', 'Oscillospiraceae', 0.7826364698487247), ('Tannerellaceae', 'Muribaculaceae', 0.35196266683599364), ('Muribaculaceae', 'Prevotellaceae', 0.5339578358421118), ('Tannerellaceae', 'Lachnospiraceae', 0.6877053772782524), ('Lachnospiraceae', 'Prevotellaceae', -0.7188056855841558), ('Ruminococcaceae', 'Tannerellaceae', 0.3876677363835084), ('Ruminococcaceae', 'Lachnospiraceae', -0.112498708772647), ('Bifidobacteriaceae', 'Prevotellaceae', 0.794009781273916), ('Ruminococcaceae', 'Oscillospiraceae', 0.75456510027005), ('Ruminococcaceae', 'Prevotellaceae', -0.103475078414203), ('Prevotellaceae', 'Muribaculaceae', 0.23046954606888503), ('Sutterellaceae', 'Prevotellaceae', -0.16145108731339586), ('Bifidobacteriaceae', 'Oscillospiraceae', -0.21891833552954798), ('Lachnospiraceae', 'Ruminococcaceae', 0.6764430375217594), ('Lachnospiraceae', 'Bacteroidaceae', 0.1911521486370038), ('Synergistaceae', 'Bacteroidaceae', 0.7924232315688458), ('Other_bacteria', 'Muribaculaceae', 0.14619985181565343), ('Sutterellaceae', 'Other_bacteria', 0.7961052363857308)]",screening_runs/screen_5.json
6,0.13497193607573518,"[('Bifidobacteriaceae', 'Sutterellaceae', 0.7489378155713515), ('Muribaculaceae', 'Synergistaceae', -0.40161334790279124), ('Prevotellaceae', 'Synergistaceae', 0.4898232758532879), ('Oscillospiraceae', 'Other_bacteria', -0.12406807561556832), ('Bacteroidaceae', 'Muribaculaceae', 0.4747383100192393), ('Tannerellaceae', 'Bacteroidaceae', 0.41596915098019815), ('Enterobacteriaceae', 'Bifidobacteriaceae', 0.6073444328060367), ('Prevotellaceae', 'Enterobacteriaceae', -0.5927574605373211), ('Enterobacteriaceae', 'Ruminococcaceae', -0.10137469911700203), ('Tannerellaceae', 'Synergistaceae', -0.4081183302364821), ('Ruminococcaceae', 'Lachnospiraceae', 0.37869010009683346), ('Bacteroidaceae', 'Lachnospiraceae', -0.26172375168650786), ('Synergistaceae', 'Tannerellaceae', 0.4123777999153875), ('Ruminococcaceae', 'Prevotellaceae', 0.19210904573959853), ('Lachnospiraceae', 'Synergistaceae', 0.7228997765074174), ('Tannerellaceae', 'Lachnospiraceae', -0.7445499367036537), ('Enterobacteriaceae', 'Prevotellaceae', -0.2549477450589821), ('Tannerellaceae', 'Other_bacteria', -0.7210069584987919)]",screening_runs/screen_6.json
7,0.14919712204182975,"[('Other_bacteria', 'Bifidobacteriaceae', -0.29835053505119513), ('Bacteroidaceae', 'Tannerellaceae', 0.1289683415067835), ('Oscillospiraceae', 'Muribaculaceae', -0.39254565678148695), ('Lachnospiraceae', 'Synergistaceae', -0.516087348209161), ('Oscillospiraceae', 'Sutterellaceae', 0.21182238779047635), ('Ruminococcaceae', 'Sutterellaceae', -0.7530816355977562), ('Lachnospiraceae', 'Sutterellaceae', 0.49180205465296956), ('Lachnospiraceae', 'Muribaculaceae', 0.7379280896429208), ('Lachnospiraceae', 'Bacteroidaceae', -0.2076927689991751), ('Muribaculaceae', 'Other_bacteria', -0.7358720101215156), ('Lachnospiraceae', 'Tannerellaceae', -0.1703782104673539), ('Bifidobacteriaceae', 'Tannerellaceae', -0.2702343979235974), ('Ruminococcaceae', 'Synergistaceae', 0.3233023303636071), ('Lachnospiraceae', 'Ruminococcaceae', 0.1800536248829845), ('Prevotellaceae', 'Synergistaceae', 0.29384078035093286), ('Enterobacteriaceae', 'Prevotellaceae', 0.5970330905279668), ('Other_bacteria', 'Tannerellaceae', 0.6700192128635194), ('Tannerellaceae', 'Lachnospiraceae', -0.6206648481535)]",screening_runs/screen_7.json
8,0.1697970949108789,"[('Prevotellaceae', 'Other_bacteria', 0.5261417064668366), ('Bifidobacteriaceae', 'Tannerellaceae', 0.6048806091334351), ('Prevotellaceae', 'Oscillospiraceae', -0.19141337413570858), ('Ruminococcaceae', 'Enterobacteriaceae', 0.46113249448120075), ('Lachnospiraceae', 'Muribaculaceae', 0.1213825208863476), ('Bifidobacteriaceae', 'Prevotellaceae', -0.0918578735194302), ('Bifidobacteriaceae', 'Muribaculaceae', -0.5348567723837454), ('Sutterellaceae', 'Muribaculaceae', -0.7014355893529788), ('Bacteroidaceae', 'Prevotellaceae', -0.7248637495863518), ('Synergistaceae', 'Other_bacteria', -0.3450426695376516), ('Synergistaceae', 'Lachnospiraceae', 0.19768701506058028), ('Synergistaceae', 'Sutterellaceae', -0.05302448809746052), ('Muribaculaceae', 'Other_bacteria', -0.12753554574498982), ('Bacteroidaceae', 'Enterobacteriaceae', -0.06622129559578105), ('Ruminococcaceae', 'Muribaculaceae', 0.4506787411503663), ('Prevotellaceae', 'Enterobacteriaceae', -0.45865472071768815), ('Muribaculaceae', 'Oscillospiraceae', 0.6391023163834106), ('Enterobacteriaceae', 'Sutterellaceae', 0.319276434960281)]",screening_runs/screen_8.json
9,0.13558359873466463,"[('Enterobacteriaceae', 'Bifidobacteriaceae', 0.0015464949059795785), ('Prevotellaceae', 'Bifidobacteriaceae', 0.6734671819168179), ('Ruminococcaceae', 'Muribaculaceae', 0.025652237248672494), ('Oscillospiraceae', 'Other_bacteria', 0.6116359192940333), ('Lachnospiraceae', 'Tannerellaceae', -0.08332513409358344), ('Sutterellaceae', 'Oscillospiraceae', -0.2085660743580391), ('Synergistaceae', 'Sutterellaceae', -0.18937557532326665), ('Enterobacteriaceae', 'Muribaculaceae', 0.13461687250895904), ('Muribaculaceae', 'Ruminococcaceae', 0.26869251956769213), ('Oscillospiraceae', 'Tannerellaceae', 0.5451904760146318), ('Prevotellaceae', 'Oscillospiraceae', -0.6210390361488938), ('Synergistaceae', 'Tannerellaceae', 0.5282976088056506), ('Bacteroidaceae', 'Lachnospiraceae', 0.35330332332301895), ('Tannerellaceae', 'Muribaculaceae', 0.6495549221683057), ('Bifidobacteriaceae', 'Bacteroidaceae', -0.42236397994416264), ('Other_bacteria', 'Ruminococcaceae', 0.07028291337629555), ('Tannerellaceae', 'Bifidobacteriaceae', -0.3253279089591267), ('Bacteroidaceae', 'Oscillospiraceae', 0.5451271625159966)]",screening_runs/screen_9.json
